benchmark,library,order,size,median,mean,stdev,unit
IntMap.forEach,Agrona,,514,1.227329694862395,1.2287513733501787,0.005806464526993267,us/op
IntMap.forEach,Agrona,,766,1.725331262240832,1.728117898469359,0.009486618571654202,us/op
IntMap.forEach,Agrona,,1026,2.453632855991093,2.4562283982161612,0.006938465441555694,us/op
IntMap.forEach,Agrona,,1534,3.487526745165164,3.4838953784808075,0.014437206131506576,us/op
IntMap.forEach,Agrona,,2050,5.017070949090117,5.02513764628097,0.01200251198956711,us/op
IntMap.forEach,Agrona,,3070,7.07747544094664,7.079070437996414,0.0071943562486246355,us/op
IntMap.forEach,Agrona,,4098,10.2564132537891,10.314460192919299,0.20602898896264638,us/op
IntMap.forEach,Agrona,,6142,14.216468051299511,14.199468978566905,0.05408901086807192,us/op
IntMap.forEach,Agrona,,8194,19.240794581018342,19.280624869129603,0.19831346714140513,us/op
IntMap.forEach,Agrona,,12286,38.825114784205695,38.80483459684382,0.1292130368828306,us/op
IntMap.forEach,Agrona,,16386,49.426830225711484,49.24432820831174,0.610137692476972,us/op
IntMap.forEach,Agrona,,24574,60.63924898349677,60.72217225699748,0.19522554568023356,us/op
IntMap.forEach,Agrona,,32770,160.27952956134774,158.6261193981545,7.560553762745587,us/op
IntMap.forEach,Agrona,,49150,134.4829946524064,133.61556164471563,4.849903498550982,us/op
IntMap.forEach,Agrona,,65538,391.27164869029275,392.3768061518078,5.363935762024368,us/op
IntMap.forEach,Agrona,,98302,334.4873015873016,335.35495130767,4.141826648381622,us/op
IntMap.forEach,Agrona,,131074,903.3996453900709,904.297407215185,4.426578311680994,us/op
IntMap.forEach,Agrona,,196606,969.8390804597701,969.7104225912849,0.6807960883504354,us/op
IntMap.forEach,Agrona,,262146,1989.16015625,1991.801976003937,11.203088875001152,us/op
IntMap.forEach,Agrona,,393214,1895.8984962406016,1911.6084374791064,32.13487650085439,us/op
IntMap.forEach,Agrona,,524290,4034.3953846153845,4037.8427156315906,13.466125727077177,us/op
IntMap.forEach,Agrona,,786430,3789.049275362319,3791.2583989991253,31.86735169434382,us/op
IntMap.forEach,Agrona,,1048578,7448.2138888888885,7468.618730158731,98.3637550314622,us/op
IntMap.forEach,Agrona,,1572862,7559.72,7559.949932773109,11.494454345242477,us/op
IntMap.forEach,Agrona,,2097154,16047.75,16054.30419117647,66.94364107977303,us/op
IntMap.forEach,Agrona,,3145726,14828.41111111111,14862.56,65.55500863707793,us/op
IntMap.forEach,Agrona,,4194306,29309.422222222223,29389.87111111111,144.07394826234608,us/op
IntMap.forEach,Agrona,,6291454,29983.222222222223,30172.006666666668,491.5773864074299,us/op
IntMap.forEach,Agrona,,8388610,58682.1,58989.236,853.9695977492394,us/op
IntMap.forEach,Agrona,,12582910,60659.32,61313.828,1714.5658006387507,us/op
IntMap.forEach,Agrona,,16777218,117124.16666666667,117050.31333333334,690.8891913887306,us/op
IntMap.forEach,Agrona,,25165822,117856.56666666667,117945.44,279.05993720983287,us/op
IntMap.forEach,Agrona,,33554434,253347.55,253558.9,1524.4767270280008,us/op
IntMap.forEach,Agrona,,50331646,240505.8,239936.79,987.3934951426386,us/op
IntMap.forEach,AndroidX,,514,0.42438241139894983,0.4244288354786781,0.0010591142410076829,us/op
IntMap.forEach,AndroidX,,766,0.34278479509115006,0.3427375387359083,0.0018124350224489579,us/op
IntMap.forEach,AndroidX,,1026,0.8519547568910767,0.8514361714271397,0.0025940635378978658,us/op
IntMap.forEach,AndroidX,,1534,0.8818433227815077,0.8805976426220227,0.003928695607636266,us/op
IntMap.forEach,AndroidX,,2050,1.6765960796662205,1.683440320424125,0.016822512380553992,us/op
IntMap.forEach,AndroidX,,3070,1.7634514691547138,1.7633746685385343,0.008653554968904305,us/op
IntMap.forEach,AndroidX,,4098,3.6129727340140323,3.6167003922547583,0.018394091515327542,us/op
IntMap.forEach,AndroidX,,6142,3.515013449664804,3.512536588506606,0.01278965051131859,us/op
IntMap.forEach,AndroidX,,8194,6.7862923513354385,6.806511062484502,0.1443474645594311,us/op
IntMap.forEach,AndroidX,,12286,6.94634497757238,6.988095124592602,0.10083513513610659,us/op
IntMap.forEach,AndroidX,,16386,13.986567714678499,14.233435865881688,0.4567269324956338,us/op
IntMap.forEach,AndroidX,,24574,57.02771383434891,57.13149144130589,0.32992856093039324,us/op
IntMap.forEach,AndroidX,,32770,103.59906160750714,102.87471773051051,4.713717617477505,us/op
IntMap.forEach,AndroidX,,49150,117.40212079299216,117.60421190739756,1.2168144612260263,us/op
IntMap.forEach,AndroidX,,65538,296.97704918032787,296.91378688632267,4.8434495415936665,us/op
IntMap.forEach,AndroidX,,98302,193.05872894333845,191.8111302729406,2.2509797815045682,us/op
IntMap.forEach,AndroidX,,131074,886.8566433566433,886.8642348867877,2.545204936525158,us/op
IntMap.forEach,AndroidX,,196606,754.6438805970149,755.311975568322,2.5939457856105412,us/op
IntMap.forEach,AndroidX,,262146,1789.2276595744681,1793.3255006136606,14.937008769957815,us/op
IntMap.forEach,AndroidX,,393214,1491.550588235294,1494.2654192097891,10.024490896165068,us/op
IntMap.forEach,AndroidX,,524290,3525.789333333333,3514.7134146198828,25.96884945405257,us/op
IntMap.forEach,AndroidX,,786430,3053.7024096385544,3082.0057782486783,83.38230432957575,us/op
IntMap.forEach,AndroidX,,1048578,7046.3184210526315,7052.304115025957,136.94728860405502,us/op
IntMap.forEach,AndroidX,,1572862,5959.7,5976.46135306554,33.64111356821201,us/op
IntMap.forEach,AndroidX,,2097154,14207.478947368421,14179.508830409357,315.1798692977283,us/op
IntMap.forEach,AndroidX,,3145726,11888.309090909092,11877.865731225296,46.18027222314119,us/op
IntMap.forEach,AndroidX,,4194306,28093.27,27812.916,432.5638052703896,us/op
IntMap.forEach,AndroidX,,6291454,24412.372727272726,24419.410909090908,341.3348237083839,us/op
IntMap.forEach,AndroidX,,8388610,55704.0,55662.424,923.9019215696005,us/op
IntMap.forEach,AndroidX,,12582910,47156.53333333333,47249.55333333333,267.4575660528016,us/op
IntMap.forEach,AndroidX,,16777218,113295.73333333334,113490.29333333333,897.736523894025,us/op
IntMap.forEach,AndroidX,,25165822,95672.9,95800.25333333333,835.3304354831329,us/op
IntMap.forEach,AndroidX,,33554434,86268.83333333333,86597.18666666666,1198.5787889928718,us/op
IntMap.forEach,Eclipse,,514,1.1829955676971537,1.1877561024802006,0.013193318962364045,us/op
IntMap.forEach,Eclipse,,766,1.361049300916786,1.3632673620658105,0.006212003090490472,us/op
IntMap.forEach,Eclipse,,1026,2.4198402510340893,2.4307654954372926,0.03658924788253592,us/op
IntMap.forEach,Eclipse,,1534,2.9297815060025187,2.9253595135498576,0.014476450324788613,us/op
IntMap.forEach,Eclipse,,2050,5.2497556632293865,5.246273050548969,0.015938558960783417,us/op
IntMap.forEach,Eclipse,,3070,5.8581530245833715,5.864393148694434,0.06815529163513095,us/op
IntMap.forEach,Eclipse,,4098,14.844543807352855,14.861659161407303,0.07135752869649846,us/op
IntMap.forEach,Eclipse,,6142,10.802353944562899,10.828632352099993,0.07936089735248521,us/op
IntMap.forEach,Eclipse,,8194,17.752540125610608,17.99422851910652,0.5246323612517423,us/op
IntMap.forEach,Eclipse,,12286,20.83837846784037,20.867748368069968,0.17693368484127733,us/op
IntMap.forEach,Eclipse,,16386,65.2796510136002,62.500237952683605,9.34913241779686,us/op
IntMap.forEach,Eclipse,,24574,147.49705712637046,148.35401321872914,5.603694044699956,us/op
IntMap.forEach,Eclipse,,32770,245.42787996127782,243.65193757971818,5.797918675821291,us/op
IntMap.forEach,Eclipse,,49150,354.8107692307692,354.35485702259615,8.143997131204307,us/op
IntMap.forEach,Eclipse,,65538,521.5915637860082,524.7209596736582,16.7060576181168,us/op
IntMap.forEach,Eclipse,,98302,785.4993730407524,783.8193717979793,5.0181351886092695,us/op
IntMap.forEach,Eclipse,,131074,1121.4657777777777,1139.257629351157,43.97256602685192,us/op
IntMap.forEach,Eclipse,,196606,1575.499375,1576.9869061134116,6.604590795477003,us/op
IntMap.forEach,Eclipse,,262146,2231.3238938053096,2229.0374524209715,4.718341734903731,us/op
IntMap.forEach,Eclipse,,393214,3141.5835294117646,3178.4257076460212,89.08925845321782,us/op
IntMap.forEach,Eclipse,,524290,4503.545614035088,4513.924442462087,28.16416384317665,us/op
IntMap.forEach,Eclipse,,786430,6357.0125,6348.177690476191,18.904607786495546,us/op
IntMap.forEach,Eclipse,,1048578,9326.903571428571,9319.822142857143,85.68377267157818,us/op
IntMap.forEach,Eclipse,,1572862,13224.145,13205.84705263158,64.36868795330219,us/op
IntMap.forEach,Eclipse,,2097154,17852.146666666667,17932.361333333334,162.61076521695685,us/op
IntMap.forEach,Eclipse,,3145726,25208.91,25206.597636363636,62.72100608222762,us/op
IntMap.forEach,Eclipse,,4194306,36231.47142857143,36277.86357142857,547.0253628531241,us/op
IntMap.forEach,Eclipse,,6291454,50686.51666666667,50600.49,246.5552759750062,us/op
IntMap.forEach,Eclipse,,8388610,75991.975,75758.835,362.0467867727891,us/op
IntMap.forEach,Eclipse,,12582910,100247.56666666667,100114.77333333333,259.96376499641536,us/op
IntMap.forEach,Eclipse,,16777218,141717.2,141594.95,673.825915018111,us/op
IntMap.forEach,Eclipse,,25165822,200461.85,200136.29,678.7305231091392,us/op
IntMap.forEach,Eclipse,,33554434,284589.2,284204.0,2174.2799141324913,us/op
IntMap.forEach,Eclipse,,50331646,415321.0,414857.62,1217.1191424835947,us/op
IntMap.forEach,Fastutil,,514,1.209884891888296,1.2097689771461144,0.0016096234663372756,us/op
IntMap.forEach,Fastutil,,766,1.821451088135348,1.826779281161195,0.011180293084817201,us/op
IntMap.forEach,Fastutil,,1026,2.394294901326614,2.402430023780071,0.015924495743726362,us/op
IntMap.forEach,Fastutil,,1534,3.672087940529426,3.6808927850356485,0.039671439077639675,us/op
IntMap.forEach,Fastutil,,2050,4.868528978153899,4.8720159319484155,0.01320476125144944,us/op
IntMap.forEach,Fastutil,,3070,7.280639345200618,7.284752798328535,0.022306418291273132,us/op
IntMap.forEach,Fastutil,,4098,9.73177709689774,9.739526500146221,0.06019982853475322,us/op
IntMap.forEach,Fastutil,,6142,14.665089447001924,14.633850490012113,0.061179432285407814,us/op
IntMap.forEach,Fastutil,,8194,19.54067275938868,19.60022734264135,0.18743130385274684,us/op
IntMap.forEach,Fastutil,,12286,29.305615251299827,29.389935939847064,0.22985315875445841,us/op
IntMap.forEach,Fastutil,,16386,48.74252408477842,48.887313920518615,0.5216231582492205,us/op
IntMap.forEach,Fastutil,,24574,49.2235838150289,49.73838956033216,1.7069380361740074,us/op
IntMap.forEach,Fastutil,,32770,156.34386181369524,156.67696634247255,7.109582937294621,us/op
IntMap.forEach,Fastutil,,49150,101.39196,102.44565647953075,2.9082796599551544,us/op
IntMap.forEach,Fastutil,,65538,377.8940652818991,379.139744029802,11.070689769129462,us/op
IntMap.forEach,Fastutil,,98302,317.43819095477386,321.0574831464374,8.085644036513399,us/op
IntMap.forEach,Fastutil,,131074,785.6273291925465,787.3576002548278,8.55002722032968,us/op
IntMap.forEach,Fastutil,,196606,649.5255754475703,651.9547499006317,5.722222000174235,us/op
IntMap.forEach,Fastutil,,262146,1563.4147239263805,1562.3983239304446,4.711510144829906,us/op
IntMap.forEach,Fastutil,,393214,1300.8963917525773,1298.4307873002467,9.556883604030585,us/op
IntMap.forEach,Fastutil,,524290,3109.634939759036,3093.766980689643,27.580472900038206,us/op
IntMap.forEach,Fastutil,,786430,2604.6757575757574,2608.0807977292575,12.376313527241193,us/op
IntMap.forEach,Fastutil,,1048578,6303.885714285714,6294.598398954704,31.37601322184265,us/op
IntMap.forEach,Fastutil,,1572862,5242.952,5248.911302721089,47.84322385747663,us/op
IntMap.forEach,Fastutil,,2097154,12633.085714285715,12627.237142857142,65.97717373088001,us/op
IntMap.forEach,Fastutil,,3145726,10454.472,10609.240135897437,241.0441993467294,us/op
